geoid	tothouse	unmarried
1	1737080	58537
2	221600	16568
4	1901327	118196
5	1042696	40543
6	11502870	683516
8	1658238	91224
9	1301670	68873
10	298736	18298
11	248338	14886
12	6337929	369622
13	3006369	145743
15	403240	23516
16	469645	22564
17	4591779	219546
18	2336306	124851
19	1149276	56822
20	1037891	42299
21	1590647	71266
22	1656053	83563
23	518200	37881
24	1980859	110335
25	2443580	130919
26	3785661	202220
27	1895127	100358
28	1046434	46738
29	2194594	111010
30	358667	17941
31	666184	29537
32	751165	53902
33	474606	32560
34	3064645	151318
35	677971	43542
36	7056860	377556
37	3132013	143680
38	257152	11379
39	4445773	229089
40	1342293	53307
41	1333723	84634
42	4777003	237622
44	408424	23180
45	1533854	70422
46	290245	13891
47	2232905	93948
48	7393354	327246
49	701281	24104
50	240634	18079
51	2699173	126365
53	2271398	139469
54	736481	34755
55	2084544	117967
56	193608	10381
72	1261325	40238
